Text,Language
"
.we're all looking for quick ways to become more fluent in english i know i understand what happens is that there are just a few words circling our brain and we need to make this entire conversation using just awesome amazing cool or epic so how about we learn some smart new english words that you can use in your daily life and elevate your vocabulary in minutes.",English
so today we're going to learn 10 new smart words their meanings root words and example sentences so let's get going  hey everyone this is  and you're watching.,English
and in this video i'm gonna give you 10 smart words for daily use and at the end of this video.,English
i'm also going to give you a smart tip to sound really fluent smart word number.,English
one is swamped swamped means drowning or flooding but swamped is often used in the context of work like i'm swamped with work i have too much work to do i've been swamped with work this entire week i've barely had time to breathe now let's look at the root of this word.,English
swamp is a piece of wetland and if somebody steps in the wrong place on a swamp they could easily drown and the verb form of swamp means to sink so here's how you can use this word.,English
let's say you have a lot of assignments and you have a test coming up and your friends come to you and they say.,English
hey why don't you hang out with us you can say to them i'm so sorry but i'm swamped with work or i'm swamped some other words that you can use in place of swamped are i've got too much to do.,English
there's too much on my plate i'm drowning in work.,English
i'm deluged with assignments smart word number two is catch-22 now i'm sure you've heard this word before catch-22 means an impossible situation in which you can't do one thing unless you've done the other and you can't do the other because you haven't done the first have.,English
i confused you so let me give you some examples a catch-22 situation is when you don't get a job without having work experience.,English
but you can't get experience until you get a job catch-22 was coined by joseph heller in his famous book of the same name catch-22 when he was describing some contradictory rules that were applicable to soldiers during world war two.,English
another example of catch-22 is you need a bank loan because you don't have enough.,English
money but you wouldn't get that bank loan unless you prove to the bank that you have enough money so next time you're stuck in a tricky situation remember.,English
to use the word catch-22.,English
and get these admiring looks from your friends other words that you can use in place of catch-22 are paradox or dilemma smart word.,English
number three is suave suave suave means to be sophisticated to be polite poised cool and.,English
well-mannered the word suave has several different origins but one very interesting  origin of the word is which means pleasant or sweet tasting example.,English
he is so poised and suave especially in front of the ladies or barack obama is so suave and polished now remember when you're at a party next time and you see this person who's so.,English
well-mannered and cultured and sophisticated.,English
don't forget to say hey who's that suave guy right out there in the corner using this word will instantly make your vocabulary.,English
very suave so smart word number four is atrocious atrocious the word atrocious means something really bad horrible terrible cruel appalling offensive atrocious has a latin root called .which means fear cruel or terrible some examples of the word atrocious are the recent rape incidents in delhi were atrocious or prisoners are treated.,English
in an atrocious manner sometimes in prisons atrocious is also used in day to day life to talk about some common wrong doing and you want to exaggerate it.,English
for example his table manners were atrocious or her dress sense is so atrocious or his grammar is atrocious.,English
so the next time you hear of a horrific act on the news remember to.,English
"remark and say that this is an atrocious act smart word number 5 is stupendous, stupendous, stupendous, means amazing astonishing.",English
now we often use the word awesome here's another word that you can use in  place of awesome stupendous for example today i got a stupendous score on my test which means i got an a very high score or.,English
i got a near-perfect score the word stupendous has classical latin roots from the word which means.,English
to be stunned so stupendous is used to describe something that is stunningly good for example she looks stupendous in that dress or what a stupendous view from this balcony or i'm reading this stupendous book that i can't put down how about you go and tell.,English
your friends that is this stupendous channel for students and some other words that you can use instead of stupendous are incredible fantastic or exceptionally good ok so before we continue with the balanced five words on this video remember to put a comment under this video.,English
to tell me which of these ten words was your favorite smart word number six is in a fix in a fix means to be in a troublesome situation for example boy i'm in a fix because i've made plans with two different friends for this evening.,English
i've lost my phone and i'm in a fix or our bus broke down this morning and i'm in a fix my friend always turns to me for help when he's in a fix and when the going is good he forgets about.,English
me so the next time you get math homework from school for example and if you've left your math book in school then you can tell your friends that you're in a real fix now you may think that the word fix has something to do with repairing something.,English
but no in a fix means to be in a troublesome situation other words that you can use instead of in a fix are i'm in a soup or i'm in a mess or i'm in a spot of bother or just i'm in a spot smart word number 7 is flummox flummox means to confuse someone.,English
so much that they forget what to do now confused tends to be an overused word so instead of that why don't you use flummox for example the boy looked completely .flummoxed when the teacher asked him a question in class or the dog was flummoxed looking at his own reflection in the mirror or the tourist was flummoxed by the different customs that.,English
he encountered during his travels or in an interview when she was asked why should we hire you she looked completely flummoxed so next time if you get confused on any questions for example in an examination then you.,English
can always say that because i hadn't prepared very well for the exam i was flummoxed by some of the questions other words that you can use instead of flummoxed are bewildered puzzled or perplexed smart word number eight is rendezvous rendezvous rendezvous.,English
is a very french way of saying meeting or date for example i have a rendezvous with my friends over lunch on saturday or i'm planning to rendezvous with my friends at the mall for movies rendezvous can be used both as a noun or as a verb for example.,English
i have a rendezvous with my friends this evening or i'm going to rendezvous with my friends tomorrow.,English
in france earlier rendezvous was used by the army to indicate a meeting place for the troops now there's something slightly exciting and secretive about the word rendezvous even now so while you can use rendezvous for any meeting.,English
in general but it won't be very appropriate for an official meeting so if you have a date perhaps you can certainly call that a rendezvous smart word number 9 is obtuse obtuse obtuse is an insult you would use it when you're trying to call someone dumb or unintelligen.t or dim-witted now you've heard the word obtuse in geometry obtuse angle and acute angle so an obtuse angle is an angle greater than 90 degrees but less than 180 degrees.,English
and an acute angle is this sharp angle less than 90 degrees so acute as a word is used to denote sharp and therefore also mentally sharp and obtuse is denoting blunt and .therefore also a little slow in the mind so example sentences with obtuse are the man was so obtuse that he gave away his password to a fake caller or the obtuse child.,English
wasn't able.,English
to answer a single question on the test or the obtuse man had a hard time understanding even basic instructions now suppose in your situation in daily life your boyfriend or your girlfriend is angry with you and you don't know why so you can.,English
say to them maybe i'm being obtuse but i don't know why you're so upset smart word number 10 is sluggish sluggish sluggish means to move in  slow manner to be kind of slower paced.,English
than usual to look a bit tired and lacking.,English
